"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"The Lord of the Rings: The King's Gambit","Standalone","Demo","N/A","N/A","N/A","N/A","Restoration Games","1735",1,"",129,"467694","796163","","0000-00-00","",""
"The Amazing Journey","Standalone","Demo","N/A","N/A","N/A","N/A","Horrible Guild","Hall H, booth #2136",1,"Designer of Dragon Castle, Railroad Ink",23,"471086","801845","HG191","0000-00-00","",""
"Inkwell","Standalone","For Sale","USD",29.99,"USD",25,"DVC Games","2568",2,"Could hit that Azul sweet spot",75,"442307","752098","MXB0100","2025-12-00","Q1 2026",""
"Computer Junkyard","Standalone","For Sale","USD",54.95,"USD",49.95,"Dream Egg Games","163",1,"",28,"424897","720928","","2026-04-00","",""
"Jump Masters!","Standalone","For Sale","USD",50,"N/A","N/A","Neon Knight Games","",2,"",14,"463836","791519","","0000-00-00","",""
"Dragons of Etchinstone","Standalone","For Sale","USD",15,"N/A","N/A","Chip Theory Games","1317",2,"Solo game",37,"367086","751562","DOE-GAME-001/DR-DRA-2025-1","2025-11-00","",""
"Dragons of Etchinstone","Standalone","For Sale","USD",15,"N/A","N/A","Chip Theory Games","1317",2,"Solo game",31,"367086","760439","","0000-00-00","",""
"A Familiar Find","Standalone","For Sale","USD",24.99,"USD",24.99,"Darrington Press","2639",2,"",21,"465239","791852","","2026-04-07","",""
"Brumble Quest","Standalone","For Sale","USD",10,"USD",10,"Plaid Hat Games","2229",2,"",19,"474443","807698","","2026-07-30","",""
"Rocking Raft","Standalone","For Sale","USD",25,"N/A","N/A","Horrible Guild","Hall H, booth #2136",1,"",18,"466723","794645","HG279","2026-07-00","",""
"Hell of a Deal","Standalone","For Sale","N/A","N/A","N/A","N/A","Smirk & Dagger Games","719",1,"",74,"463605","789153","","0000-00-00","",""
"War of the Dragon: The Wheel of Time","Standalone","Demo","N/A","N/A","N/A","N/A","Dire Wolf","Dire Wolf Event Room #141",2,"",37,"470548","800946","","0000-00-00","",""
"Old Ones Origins","Standalone","Demo","N/A","N/A","N/A","N/A","Chaosium","511",1,"Reimplements Forbidden Stars which reimplements Starcraft",35,"474883","808387","","0000-00-00","",""
"Hanami","Standalone","For Sale","USD",69.99,"N/A","N/A","Keymaster Games","2113",2,"Reimplements Samurai - Knizia",35,"450860","805130","KYM1602","2026-05-00","",""
"a_way","Standalone","For Sale","USD",13,"USD",10,"Blue Orange (EU)","1901",1,"Looks like an amped up Tsuro?",31,"446026","790307","","0000-00-00","",""
"Orloj: The Prague Astronomical Clock","Standalone","For Sale","N/A","N/A","N/A","N/A","Devir","2811",2,"",257,"429405","779608","","0000-00-00","April 2026",""
"Realm of Reckoning","Standalone","For Sale","USD",89.99,"N/A","N/A","IV Studio","3043",2,"Designer of Moonrakers",74,"446893","803839","","2026-07-01","",""
"Cyberpunk: Edgerunners – Hunted","Standalone","Demo","USD",40,"N/A","N/A","No Loading Games","2321",2,"",7,"460036","783305","","0000-00-00","",""
